Id,Label,season,season_title,node_type,region,episode
10110,Tag Match! The Last Gym!,2,Adventures in the Orange Islands,episode,johto,27
10111,Magikarp! The True Secret!,2,Adventures in the Orange Islands,episode,johto,28
10112,Poliwag and Misty,2,Adventures in the Orange Islands,episode,johto,29
10113,Winner's Cup! 6 vs. 6!,2,Adventures in the Orange Islands,episode,johto,30
10114,Final Battle! Dragonite's Appearance!,2,Adventures in the Orange Islands,episode,johto,31
10115,Goodbye Lapras!,2,Adventures in the Orange Islands,episode,johto,32
10116,Electrode's Tremendous Blast!?,2,Adventures in the Orange Islands,episode,johto,33
10117,Return to Pallet Town!,2,Adventures in the Orange Islands,episode,johto,34
10118,Rival Confrontation! Ash Vs. Gary!,2,Adventures in the Orange Islands,episode,johto,35
10119,New Bark Town! Where Winds of New Beginnings Blow!,3,The Johto Journeys,episode,johto,1
10120,Rookie's Chikorita!,3,The Johto Journeys,episode,johto,2
10121,Collide! Heracross vs. Pinsir!,3,The Johto Journeys,episode,johto,3
10122,Donphan's Valley!,3,The Johto Journeys,episode,johto,4
10123,Hoothoot and the Mysterious Forest!,3,The Johto Journeys,episode,johto,5
10124,Bellossom's Battle Dancing,3,The Johto Journeys,episode,johto,6
10125,Spinarak! The Ultimate Detective Job!,3,The Johto Journeys,episode,johto,7
10126,Snubbull's Magnificent Life!?,3,The Johto Journeys,episode,johto,8
10127,Stantler! Forest of Illusions!,3,The Johto Journeys,episode,johto,9
10128,Stubborn Chikorita!!,3,The Johto Journeys,episode,johto,10
10129,Quagsire and the GS Ball!?,3,The Johto Journeys,episode,johto,11
10130,Ledyba's Flute!,3,The Johto Journeys,episode,johto,12
10131,Blissey The Happy Nurse!,3,The Johto Journeys,episode,johto,13
10132,Pokemon School and Bellsprout's Tower!,3,The Johto Journeys,episode,johto,14
10133,Violet Gym! Sky Battle!,3,The Johto Journeys,episode,johto,15
10134,Crybaby Marill!,3,The Johto Journeys,episode,johto,16
10135,Pasture! Sentret & Togepi! ,3,The Johto Journeys,episode,johto,17
10136,Charizard Valley! Until We Meet Again!,3,The Johto Journeys,episode,johto,18
10137,Big Panic! Sunflora Contest!! ,3,The Johto Journeys,episode,johto,19
10138,Chikorita's Jealousy!,3,The Johto Journeys,episode,johto,20
10139,Hoppip's Jealousy! Battle In the Big Prarie!,3,The Johto Journeys,episode,johto,21
10140,Riddle Superhero! Gligar Man!!,3,The Johto Journeys,episode,johto,22
10141,Mareep Meadow's Girl!!,3,The Johto Journeys,episode,johto,23
10142,Battle! Heracross vs. Scizor!! ,3,The Johto Journeys,episode,johto,24
10143,I Got Cyndaquil!,3,The Johto Journeys,episode,johto,25
10144,Azalea Town! Slowpoke's Well!,3,The Johto Journeys,episode,johto,26
10145,Pineco and the Apricorns! Mountain-side Battle!,3,The Johto Journeys,episode,johto,27
10146,Azalea Gym! Forest Battle!,3,The Johto Journeys,episode,johto,28
10147,Ilex Forest! Search for Farfetch'd!,3,The Johto Journeys,episode,johto,29
10148,Wobbuffet and the Pokémon Exchange!,3,The Johto Journeys,episode,johto,30
10149,Burn Squirtle Squad! Like a Fire!!,3,The Johto Journeys,episode,johto,31
10150,Lots of Wooper!,3,The Johto Journeys,episode,johto,32
10151,Jigglypuff Vs. Snubbull!,3,The Johto Journeys,episode,johto,33
10152,The Dark Pokémon Houndour!,3,The Johto Journeys,episode,johto,34
10153,Who Gets to Keep Totodile?! Ash Versus Misty!,3,The Johto Journeys,episode,johto,35
10154,Skarmory Vs. Cyndaquil! Steel Wings,3,The Johto Journeys,episode,johto,36
10155,Dancing Totodile! Steps of Love!! ,3,The Johto Journeys,episode,johto,37
10156,Different Colored Noctowl!! Get It!!,3,The Johto Journeys,episode,johto,38
10157,Ursaring's Startled!!,3,The Johto Journeys,episode,johto,39
10158,Girafarig and the Psychic Village!,3,The Johto Journeys,episode,johto,40
10159,Pokemon Fortune-Telling?! Headlines! ,3,The Johto Journeys,episode,johto,41
10160,Goldenrod Gym! Speed and Power?!?,4,Johto League Champions,episode,johto,1
10161,Miltank! Revenge Battle!,4,Johto League Champions,episode,johto,2
10162,Radio Tower Battle! Center Crossover!,4,Johto League Champions,episode,johto,3
10163,Bug Catching Battle! Caught At Nature Park,4,Johto League Champions,episode,johto,4
10164,Where is Sudowoodo!?,4,Johto League Champions,episode,johto,5
10165,Fossil Pokémon Park! Ruins of Alph!,4,Johto League Champions,episode,johto,6
10166,Pidgey The Carrier Pigeon!,4,Johto League Champions,episode,johto,7
10167,Zubat Mansion! Dangerous Labyrinth!,4,Johto League Champions,episode,johto,8
10168,Bulbasaur Vs. Hitmontop! Fighting Match!,4,Johto League Champions,episode,johto,9
10169,Three in the Jungle! Hot Spring Battle!,4,Johto League Champions,episode,johto,10
10170,Seaking! Fishing Battle!,4,Johto League Champions,episode,johto,11
10171,Sayonara Vulpix! Beauty Contest!,4,Johto League Champions,episode,johto,12
10172,Bellsprout Vs. Shuckle,4,Johto League Champions,episode,johto,13
10173,Umbreon! Battle In The Moonless Night!,4,Johto League Champions,episode,johto,14
10174,Ledian! Cross Through The Windy Valley!,4,Johto League Champions,episode,johto,15
10175,Wobbuffet Village!,4,Johto League Champions,episode,johto,16
10176,I Wanna Be A Ditto Master! Return of Duplica,4,Johto League Champions,episode,johto,17
10177,"Snubbull, Meowth And Granbull!?",4,Johto League Champions,episode,johto,18
10178,Ariados and the Ninja Battle,4,Johto League Champions,episode,johto,19
10179,Beat the Winged Yanma! Across The Tomorrow Skies!,4,Johto League Champions,episode,johto,20
10180,Skiploom! Grass Type Pokémon Battle!,4,Johto League Champions,episode,johto,21
10181,Pikachu & Pichu!,4,Johto League Champions,episode,johto,22
10182,Houndoom and Togepi!,4,Johto League Champions,episode,johto,23
10183,Burnt Tower! Morty Appears!,4,Johto League Champions,episode,johto,24
10184,Ecruteak Gym! A Ghost Battle!,4,Johto League Champions,episode,johto,25
10185,The 5 Eevee Sisters! Tea Party Battle!,4,Johto League Champions,episode,johto,26
10186,Murkrow! The Theft of the Four Badges!,4,Johto League Champions,episode,johto,27
10187,Remoraid's Sky!,4,Johto League Champions,episode,johto,28
10188,Teddiursa's Secret!,4,Johto League Champions,episode,johto,29
10189,The Mystery of the Frozen Sunkern!,4,Johto League Champions,episode,johto,30
10190,Swinub! Search for the Hot Springs!,4,Johto League Champions,episode,johto,31
10191,Articuno Vs. Jigglypuff! In The Snowstorm!,4,Johto League Champions,episode,johto,32
10192,Arcanine and the Fire Stones!,4,Johto League Champions,episode,johto,33
10193,No More Dunsparce?,4,Johto League Champions,episode,johto,34
10194,Wobbuffet! Disaster?,4,Johto League Champions,episode,johto,35
10195,Brock's Breakdown! Dangerous Camp!,4,Johto League Champions,episode,johto,36
10196,Feraligatr Vs. Blastoise! Sumo Match!,4,Johto League Champions,episode,johto,37
10197,You Can Speak To Pokémon!? Pokémon's Words and Emotions!,4,Johto League Champions,episode,johto,38
10198,Golbat Vs. Masked Jessie! Battle In The Ruins!,4,Johto League Champions,episode,johto,39
10199,Smeargle's Tracks! Shining in the Morning Sun!,4,Johto League Champions,episode,johto,40
10200,"Nidorina, Nidorino! Brock's Color is Rose!",4,Johto League Champions,episode,johto,41
10201,Goodbye Chikorita! Dangerous Electric Labyrinth!,4,Johto League Champions,episode,johto,42
10202,Where has Bayleaf Gone!? The Catcher in the Herbs!,4,Johto League Champions,episode,johto,43
10203,Fortune-Telling Natu! Foreshadow Future's Mystery!,4,Johto League Champions,episode,johto,44
10204,Pokémon Balloon Race! Pass Through The Storm!,4,Johto League Champions,episode,johto,45
10205,Smoochum is Daydreaming! Pokémon Superstar In Love?,4,Johto League Champions,episode,johto,46
10206,Chase the Swimming Rhydon! Lake of a Battle!,4,Johto League Champions,episode,johto,47
10207,Kecleon Is Somewhere! Pokémon That Cannot Be Seen,4,Johto League Champions,episode,johto,48
10208,Nurse Joy That Hates Water Pokémon! Misty's Wrath,4,Johto League Champions,episode,johto,49
10209,Mother Miltank! Desert Secret!!,4,Johto League Champions,episode,johto,50
10210,Lighthouse Radiance! Olivine City Battle!!,4,Johto League Champions,episode,johto,51
10211,Cianwood City Gym! Wrestling Match!,4,Johto League Champions,episode,johto,52
10212,Whirl Islands! Reaching a New Challenge!,5,Master Quest,episode,johto,1
10213,Pidgey and Pidgey Detective! Still Will Watch an Eye to the Sky!,5,Master Quest,episode,johto,2
10214,Trip to the Beach! Chinchou Possession!,5,Master Quest,episode,johto,3
10215,A Friend Hereafter in Corsola! Showdown at Yellow Rock Island!,5,Master Quest,episode,johto,4
10216,Mantine and the Sunkern Ship! Secret Pokémon Riddle!,5,Master Quest,episode,johto,5
10217,Octillery Vs. Remoraid! Whirlpool Cup Qualifying Round!,5,Master Quest,episode,johto,6
10218,Whirlpool Cup! Great Battle in the Water Colosseum!,5,Master Quest,episode,johto,7
10219,Ash Vs. Misty! Whirlpool Cup Final Battle!,5,Master Quest,episode,johto,8
10220,Protect Diglett Village! Amazing Pitfall Strategy!,5,Master Quest,episode,johto,9
10221,Legend of the Silver Feather! Silver Rock Island!!,5,Master Quest,episode,johto,10
10222,Mystery Pokémon X!!,5,Master Quest,episode,johto,11
10223,Captive Lugia!,5,Master Quest,episode,johto,12
10224,Agreement with Lugia!,5,Master Quest,episode,johto,13
10225,Fly Proud Hoothoot! Aim for Olivine!!,5,Master Quest,episode,johto,14
10226,Olivine Gym! Vs. Steelix!,5,Master Quest,episode,johto,15
10227,Goodbye Bulbasaur! Adventure at Oak's Residence!!,5,Master Quest,episode,johto,16
10228,Sakura and Espeon! Ecruteak City Again!!,5,Master Quest,episode,johto,17
10229,Suicune and Eusine! Legend Of Ho-oh!!,5,Master Quest,episode,johto,18
10230,Ride the Swiftly Running Pokémon!!,5,Master Quest,episode,johto,19
10231,The Great Police Detective! Mystery Of The Egg That Vanished!,5,Master Quest,episode,johto,20
10232,The Egg....Hatches,5,Master Quest,episode,johto,21
10233,Team Rocket and Delibird!,5,Master Quest,episode,johto,22
10234,Ninetales In The Fog!,5,Master Quest,episode,johto,23
10235,Tyrogue And The Karate King Nobuhiko!,5,Master Quest,episode,johto,24
10236,The Great Prediction of Xatu!,5,Master Quest,episode,johto,25
10237,Lance and the Red Gyarados! Lake Of Rage!!,5,Master Quest,episode,johto,26
10238,Rage of the Red Gyarados!,5,Master Quest,episode,johto,27
10239,Piloswine and Pryce Of Winter!,5,Master Quest,episode,johto,28
10240,Mahogony Gym! Ice Battle!!,5,Master Quest,episode,johto,29
10241,Bellossom and Vileplume! Peace In The Grassy Meadow!,5,Master Quest,episode,johto,30
10242,Magcargo! Catch In The Hot Spirit!,5,Master Quest,episode,johto,31
10243,A Great Transformation in Pokémon Magic!?,5,Master Quest,episode,johto,32
10244,Zapdos and the Crystal! Secret of the Lake!,5,Master Quest,episode,johto,33
10245,Igglybuff Twins Vs. Jigglypuff! Pokemon Singing Concert!,5,Master Quest,episode,johto,34
10246,Slowpoke's Knowledge! Ash's Knowledge!,5,Master Quest,episode,johto,35
10247,Imposter Professor Oak!? Comic Haiku Showdown!!,5,Master Quest,episode,johto,36
10248,"Cleffa, Clefairy, and the Shoooting Star!",5,Master Quest,episode,johto,37
10249,The Evolution of Poliwhirl!,5,Master Quest,episode,johto,38
10250,"Battle Park! Vs. Blastoise, Charizard and Venusaur!",5,Master Quest,episode,johto,39
10251,Politoed and Cheerleading!,5,Master Quest,episode,johto,40
10252,The Ice Cave!,5,Master Quest,episode,johto,41
10253,Clair & Dratini!,5,Master Quest,episode,johto,42
10254,Blackthorn City Gym's Dragon's Fang!,5,Master Quest,episode,johto,43
10255,Dragonite! Invoke the Imperial Wrath!,5,Master Quest,episode,johto,44
10256,Blackthorn City Gym! The Final Badge!,5,Master Quest,episode,johto,45
10257,Wynaut! Wobbuffet and the Gym Badges!,5,Master Quest,episode,johto,46
10258,Coastline Gym! Battle in the Middle of Water!,5,Master Quest,episode,johto,47
10259,The Song of Lapras!,5,Master Quest,episode,johto,48
10260,Protect the Egg! A Life was Hidden in The Storm!,5,Master Quest,episode,johto,49
10261,Entei and Friends of the Hot Spring!,5,Master Quest,episode,johto,50
10262,Slowking! King's Rock!,5,Master Quest,episode,johto,51
10263,Casey and Elekid!,5,Master Quest,episode,johto,52
10264,Try Your Best Larvitar!,5,Master Quest,episode,johto,53
10265,The Unown of the Wondrous Country!,5,Master Quest,episode,johto,54
10266,Tyranitar and Larvitar!,5,Master Quest,episode,johto,55
10267,Sneasel and the Sacred Fire!,5,Master Quest,episode,johto,56
10268,The Silver Tournament! The Return of Gary!,5,Master Quest,episode,johto,57
10269,League Preliminaries! Quilava Flame Battle!,5,Master Quest,episode,johto,58
10270,Meganium vs. Bulbasaur! Spirit of the Grass Types!,5,Master Quest,episode,johto,59
10271,Tournament Finals! Full Battle 6 vs 6!!,5,Master Quest,episode,johto,60
10272,Rival Confrontation! Charizard VS Blatoise!,5,Master Quest,episode,johto,61
10273,Blaziken Returns! Battle with Harrison!!,5,Master Quest,episode,johto,62
10274,To the End of the Full Battle! Each One's Way!!,5,Master Quest,episode,johto,63
10275,Farewell...and then Setting Off!,5,Master Quest,episode,johto,64
10276,The Parting with Pikachu!,5,Master Quest,episode,johto,65
10277,A New Land! A New Adventure!!,6,Advanced,episode,hoenn,1
10278,Ancient Pokémon and Mysterious Teams!,6,Advanced,episode,hoenn,2
10279,Petalburg Gym! VS. Vigoroth!,6,Advanced,episode,hoenn,3
10280,A Lot of Taillow! A Lot of Danger! Capture in Petalburg Woods!,6,Advanced,episode,hoenn,4
10281,Zigzagoon and Youngster! May's First Battle!!,6,Advanced,episode,hoenn,5
10282,Team Rocket! Goodbye to the Trouble Makers!!,6,Advanced,episode,hoenn,6
10283,Treecko's Woods! Protect the Big Tree!,6,Advanced,episode,hoenn,7
10284,Seviper VS Treecko! Strike of Death!,6,Advanced,episode,hoenn,8
10285,Bizarre! The Shroomish Mansion Mystery!,6,Advanced,episode,hoenn,9
10286,The Greatest Pelipper Show in History!,6,Advanced,episode,hoenn,10
10287,Mightyena and Poochyena! Mystery of Evolution!,6,Advanced,episode,hoenn,11
10288,Lotad and the Three Sisters of the Flower Shop!,6,Advanced,episode,hoenn,12
10289,Contest! Beautifly's Magnificent Battle!,6,Advanced,episode,hoenn,13
10290,Double Battle & Double Wurmple!?!,6,Advanced,episode,hoenn,14
10291,Try to Study! Pokémon Trainer's School!,6,Advanced,episode,hoenn,15
10292,Rustboro Gym! Nosepass' Secret Weapon!,6,Advanced,episode,hoenn,16
10293,Devon Corporation! Shadow of Team Aqua!,6,Advanced,episode,hoenn,17
10294,Old Man Briney and Peeko The Wingull!,6,Advanced,episode,hoenn,18
10295,Escape! Sharpedo's Island!,6,Advanced,episode,hoenn,19
10296,Dewford Gym! Enter Brawly the Surfing Gym Leader!,6,Advanced,episode,hoenn,20
10297,Wurmple Vs. Wurmple! Which is Which!?!,6,Advanced,episode,hoenn,21
10298,"Steven, Aron & Aggron!",6,Advanced,episode,hoenn,22
10299,Roughneck of the Sea! Corphish Enters!,6,Advanced,episode,hoenn,23
10300,Run Ash! Cross the Carvahna River!,6,Advanced,episode,hoenn,24
10301,The Secret Pond! Full of Mudkip!,6,Advanced,episode,hoenn,25
10302,Attack of the Nuzleaf Family!,6,Advanced,episode,hoenn,26
10303,Team Magma VS Team Aqua! Secret Base Battle!,6,Advanced,episode,hoenn,27
10304,Beautifly & Dustox! The Final Evolution!,6,Advanced,episode,hoenn,28
10305,The Startling Sableye!,6,Advanced,episode,hoenn,29
10306,Meditite and the Battle Girl! In a Storm!,6,Advanced,episode,hoenn,30
10307,Dewford Gym Rematch! Surfing Battlefield!,6,Advanced,episode,hoenn,31
10308,The Abandoned Ship! The Creeping Shadow!,6,Advanced,episode,hoenn,32
10309,A Rival For May! Intensive Pokémon Contest Training!,6,Advanced,episode,hoenn,33
10310,The Great Starter Pokémon Panic!,6,Advanced,episode,hoenn,34
10311,May! The First Pokémon Contest Challenge!,6,Advanced,episode,hoenn,35
10312,Protect The Ocean Museum! Attack of Team Magma,6,Advanced,episode,hoenn,36
10313,Beauty & The Beast! Shiftry & Nurse Joy!,6,Advanced,episode,hoenn,37
10314,Plusle & Minun! The Mountain Lighthouse!,6,Advanced,episode,hoenn,38
10315,Sing! Pokémon Trick House!,6,Advanced,episode,hoenn,39
10316,Mauville Gym! Wattson's Electric Shock Battle!,6,Advanced,episode,hoenn,40
10317,Treecko's New Technique!! Watmel Field's Bullet Seed!,7,Advanced Challenge,episode,hoenn,1
10318,Volbeat & Illumise! Dance Of Love!,7,Advanced Challenge,episode,hoenn,2
10319,Fly Bagon! Towards the Future!,7,Advanced Challenge,episode,hoenn,3
10320,Enter Misty! Togepi and the Mirage Kingdom!,7,Advanced Challenge,episode,hoenn,4
10321,Towards The Mirage! Togepi's Paradise!!,7,Advanced Challenge,episode,hoenn,5
10322,Winstrate Family! 4 Vs. 4!,7,Advanced Challenge,episode,hoenn,6
10323,Skitty & Aromatherapy!,7,Advanced Challenge,episode,hoenn,7
10324,Zangoose & Seviper! Rival Confrontation!,7,Advanced Challenge,episode,hoenn,8
10325,Max & Max! Protect Surskit!,7,Advanced Challenge,episode,hoenn,9
10326,Pokémon Contest! Fallarbor Convention!,7,Advanced Challenge,episode,hoenn,10
10327,Vs. Medicham! Contest Battle,7,Advanced Challenge,episode,hoenn,11
10328,Plusle & Minun! Road Assitance!,7,Advanced Challenge,episode,hoenn,12
10329,Skitty & Assist! Meadow Of Numel,7,Advanced Challenge,episode,hoenn,13
10330,"Once Again, Team Magma Vs. Team Aqua! Mt. Chimney Battle!",7,Advanced Challenge,episode,hoenn,14
10331,"The New Gym Leader, Flannery! The Hole-Filled Battle Field!",7,Advanced Challenge,episode,hoenn,15
10332,Heat Badge! Win The Blazing Battle!,7,Advanced Challenge,episode,hoenn,16
10333,Lots of Spinda! Beyond the Mountain in Search of Happiness!,7,Advanced Challenge,episode,hoenn,17
10334,Breaking Through Steel Valley! Torkoal VS. Steelix!,7,Advanced Challenge,episode,hoenn,18
10335,Return To Mauville Gym! VS. Manectric!,7,Advanced Challenge,episode,hoenn,19
10336,Skitty & Delcatty! Enter the Legendary Pokémon Co-Ordinator!,7,Advanced Challenge,episode,hoenn,20
10337,Enter The Phantom Masked Co-Ordinator!,7,Advanced Challenge,episode,hoenn,21
10338,Verdanturf Town! Pokémon Contest,7,Advanced Challenge,episode,hoenn,22
10339,Solrock & Lombre! Legend Of The Forest!,7,Advanced Challenge,episode,hoenn,23
10340,Sky of Swablu! Spirit Of May!,7,Advanced Challenge,episode,hoenn,24
10341,The Great Gulpin Repelling Strategy!,7,Advanced Challenge,episode,hoenn,25
10342,Critical Situation! Exploud Vs. Grovyle!,7,Advanced Challenge,episode,hoenn,26
10343,Dancing Battle! Ludicolo!,7,Advanced Challenge,episode,hoenn,27
10344,Papa is Idol?!? False Gym Leader!,7,Advanced Challenge,episode,hoenn,28
10345,Petalburg Gym Crisis! Household Crisis!!,7,Advanced Challenge,episode,hoenn,29
10346,Petalburg Gym! The Fifth Badge!!,7,Advanced Challenge,episode,hoenn,30
10347,Prof. Oak & Prof. Birch! Secret Base Battle!!,7,Advanced Challenge,episode,hoenn,31
10348,Tag Battle! Ash VS May!!,7,Advanced Challenge,episode,hoenn,32
10349,King of the Forbidden Forest! Venusaur!,7,Advanced Challenge,episode,hoenn,33
10350,Bulbasaur & Bulbasaur! Regaining the Pokéballs!,7,Advanced Challenge,episode,hoenn,34
10351,Showdown! Fishing Master & The Giant Whiscash!,7,Advanced Challenge,episode,hoenn,35
10352,Baltoy & The Ruins in the Mist!,7,Advanced Challenge,episode,hoenn,36
10353,Formidable Enemy!? Mother Coordinator Enters!,7,Advanced Challenge,episode,hoenn,37
10354,Pokémon Contest! Rubello Tournament!,7,Advanced Challenge,episode,hoenn,38
10355,Spoink's Lost Object!?,7,Advanced Challenge,episode,hoenn,39
10356,Beginning Challenge! Sky Match - PokéRinger!?,7,Advanced Challenge,episode,hoenn,40
10357,The Mansion of Shuppet!,7,Advanced Challenge,episode,hoenn,41
